,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Marom Creek,0.0,8.0,22.0,10.0,3.0,0.0,18.6,51.2,23.3,7.0,12499
Rous,0.0,13.0,39.0,28.0,5.0,0.0,15.3,45.9,32.9,5.9,13427
Pimlico (NSW),4.0,33.0,33.0,38.0,3.0,3.6,29.7,29.7,34.2,2.7,13207
Coolgardie (NSW),0.0,3.0,23.0,9.0,0.0,0.0,8.6,65.7,25.7,0.0,11031
Keith Hall,0.0,9.0,21.0,13.0,8.0,0.0,17.6,41.2,25.5,15.7,12086
Uralba,3.0,18.0,41.0,18.0,0.0,3.8,22.5,51.2,22.5,0.0,14050
Tuckombil,0.0,17.0,46.0,24.0,0.0,0.0,19.5,52.9,27.6,0.0,13947
Fernleigh,0.0,21.0,46.0,26.0,0.0,0.0,22.6,49.5,28.0,0.0,11508
Tintenbar,0.0,51.0,127.0,66.0,3.0,0.0,20.6,51.4,26.7,1.2,13878
Cumbalum,0.0,84.0,253.0,129.0,8.0,0.0,17.7,53.4,27.2,1.7,11154
Brooklet,0.0,21.0,40.0,27.0,5.0,0.0,22.6,43.0,29.0,5.4,10598
Knockrow,0.0,21.0,31.0,13.0,7.0,0.0,29.2,43.1,18.1,9.7,12178
Newrybar,3.0,36.0,72.0,48.0,5.0,1.8,22.0,43.9,29.3,3.0,12957
Alstonvale,0.0,28.0,65.0,50.0,3.0,0.0,19.2,44.5,34.2,2.1,10045
Teven,0.0,22.0,34.0,36.0,0.0,0.0,23.9,37.0,39.1,0.0,13807
Pearces Creek,0.0,13.0,28.0,18.0,3.0,0.0,21.0,45.2,29.0,4.8,13170
Lynwood (NSW),0.0,13.0,33.0,22.0,5.0,0.0,17.8,45.2,30.1,6.8,12427
Rous Mill,0.0,16.0,26.0,28.0,0.0,0.0,22.9,37.1,40.0,0.0,13428
Ewingsdale,3.0,68.0,105.0,79.0,11.0,1.1,25.6,39.5,29.7,4.1,11474
Eureka (NSW),0.0,29.0,57.0,23.0,4.0,0.0,25.7,50.4,20.4,3.5,11461
Coorabell,3.0,41.0,65.0,31.0,6.0,2.1,28.1,44.5,21.2,4.1,11051
Possum Creek,0.0,23.0,44.0,23.0,3.0,0.0,24.7,47.3,24.7,3.2,13252
Bangalow,10.0,223.0,323.0,124.0,23.0,1.4,31.7,45.9,17.6,3.3,10174
Coopers Shoot,0.0,21.0,42.0,27.0,3.0,0.0,22.6,45.2,29.0,3.2,11049
Skinners Shoot,0.0,15.0,12.0,14.0,3.0,0.0,34.1,27.3,31.8,6.8,13556
Talofa,0.0,16.0,14.0,4.0,0.0,0.0,47.1,41.2,11.8,0.0,13739
Nashua,0.0,24.0,36.0,28.0,6.0,0.0,25.5,38.3,29.8,6.4,12914
Federal (NSW),3.0,69.0,120.0,42.0,15.0,1.2,27.7,48.2,16.9,6.0,11499
Binna Burra (NSW),0.0,20.0,21.0,20.0,0.0,0.0,32.8,34.4,32.8,0.0,10371
Brunswick Heads,63.0,315.0,242.0,93.0,40.0,8.4,41.8,32.1,12.4,5.3,10621
Ocean Shores,48.0,763.0,833.0,293.0,71.0,2.4,38.0,41.5,14.6,3.5,13070
Tyagarah,0.0,16.0,24.0,17.0,8.0,0.0,24.6,36.9,26.2,12.3,13993
New Brighton,3.0,50.0,54.0,25.0,0.0,2.3,37.9,40.9,18.9,0.0,12939
South Golden Beach,11.0,107.0,133.0,36.0,8.0,3.7,36.3,45.1,12.2,2.7,13581
Wooyung,0.0,15.0,22.0,8.0,5.0,0.0,30.0,44.0,16.0,10.0,14418
Byron Bay,137.0,770.0,560.0,263.0,118.0,7.4,41.7,30.3,14.2,6.4,10733
Suffolk Park,34.0,432.0,531.0,248.0,51.0,2.6,33.3,41.0,19.1,3.9,13684
Broken Head,3.0,22.0,44.0,24.0,3.0,3.1,22.9,45.8,25.0,3.1,10591
Woodburn (Richmond Valley - NSW),6.0,102.0,96.0,50.0,13.0,2.2,38.2,36.0,18.7,4.9,14379
Broadwater (Richmond Valley - NSW),3.0,87.0,92.0,55.0,9.0,1.2,35.4,37.4,22.4,3.7,10580
Rileys Hill,0.0,10.0,35.0,17.0,0.0,0.0,16.1,56.5,27.4,0.0,13364
Evans Head,107.0,519.0,406.0,127.0,65.0,8.7,42.4,33.2,10.4,5.3,11469
Bungawalbin,4.0,12.0,16.0,7.0,0.0,10.3,30.8,41.0,17.9,0.0,10683
New Italy,0.0,19.0,29.0,14.0,5.0,0.0,28.4,43.3,20.9,7.5,12941
Swan Bay (Richmond Valley - NSW),0.0,17.0,27.0,22.0,0.0,0.0,25.8,40.9,33.3,0.0,13705
Doonbah,8.0,47.0,26.0,14.0,3.0,8.2,48.0,26.5,14.3,3.1,11274
Lennox Head,47.0,712.0,1047.0,432.0,59.0,2.0,31.0,45.6,18.8,2.6,12303
Myocum,4.0,96.0,165.0,74.0,14.0,1.1,27.2,46.7,21.0,4.0,12877
Billinudgel,3.0,31.0,27.0,16.0,0.0,3.9,40.3,35.1,20.8,0.0,10355
Yelgun,0.0,13.0,11.0,15.0,3.0,0.0,31.0,26.2,35.7,7.1,14499
The Pocket,3.0,28.0,42.0,18.0,3.0,3.2,29.8,44.7,19.1,3.2,13834
Middle Pocket,0.0,14.0,25.0,12.0,3.0,0.0,25.9,46.3,22.2,5.6,12606
Main Arm,3.0,61.0,78.0,34.0,16.0,1.6,31.8,40.6,17.7,8.3,12445
Upper Main Arm,3.0,39.0,32.0,14.0,4.0,3.3,42.4,34.8,15.2,4.3,14035
Mullumbimby,63.0,546.0,483.0,182.0,69.0,4.7,40.7,36.0,13.6,5.1,12828
Mullumbimby Creek,3.0,46.0,86.0,31.0,14.0,1.7,25.6,47.8,17.2,7.8,12829
Wilsons Creek,0.0,50.0,52.0,23.0,6.0,0.0,38.2,39.7,17.6,4.6,14310
Goonengerry,3.0,43.0,59.0,35.0,9.0,2.0,28.9,39.6,23.5,6.0,11712
Huonbrook,9.0,21.0,15.0,3.0,3.0,17.6,41.2,29.4,5.9,5.9,11962
Whian Whian,0.0,13.0,20.0,11.0,0.0,0.0,29.5,45.5,25.0,0.0,14272
Yorklea,0.0,25.0,56.0,41.0,10.0,0.0,18.9,42.4,31.1,7.6,14517
Casino,382.0,1742.0,1382.0,498.0,218.0,9.0,41.3,32.7,11.8,5.2,10843
North Casino,0.0,52.0,145.0,94.0,4.0,0.0,17.6,49.2,31.9,1.4,12987
Fairy Hill,0.0,34.0,58.0,43.0,6.0,0.0,24.1,41.1,30.5,4.3,11483
Bonalbo,10.0,60.0,50.0,13.0,10.0,7.0,42.0,35.0,9.1,7.0,10463
Coraki,26.0,162.0,150.0,82.0,20.0,5.9,36.8,34.1,18.6,4.5,11063
Mallanganee,4.0,30.0,21.0,9.0,0.0,6.2,46.9,32.8,14.1,0.0,12457
Dobies Bight,0.0,16.0,20.0,10.0,0.0,0.0,34.8,43.5,21.7,0.0,11262
Backmede,0.0,4.0,20.0,17.0,0.0,0.0,9.8,48.8,41.5,0.0,10130
Stratheden,0.0,16.0,37.0,24.0,3.0,0.0,20.0,46.2,30.0,3.8,13674
Woodview,0.0,9.0,21.0,12.0,0.0,0.0,21.4,50.0,28.6,0.0,14397
Bentley (NSW),0.0,9.0,34.0,19.0,3.0,0.0,13.8,52.3,29.2,4.6,10298
Spring Grove,0.0,35.0,60.0,45.0,3.0,0.0,24.5,42.0,31.5,2.1,13614
Greenridge,0.0,7.0,14.0,13.0,0.0,0.0,20.6,41.2,38.2,0.0,11768
McKees Hill,0.0,17.0,45.0,38.0,3.0,0.0,16.5,43.7,36.9,2.9,12543
Tatham,0.0,20.0,39.0,14.0,0.0,0.0,27.4,53.4,19.2,0.0,13773
West Coraki,0.0,11.0,10.0,15.0,0.0,0.0,30.6,27.8,41.7,0.0,14243
Ellangowan (NSW),3.0,24.0,52.0,27.0,7.0,2.7,21.2,46.0,23.9,6.2,11400
Leeville,0.0,17.0,33.0,25.0,0.0,0.0,22.7,44.0,33.3,0.0,12295
Shannon Brook,3.0,16.0,17.0,20.0,4.0,5.0,26.7,28.3,33.3,6.7,13525
Rappville,0.0,18.0,20.0,17.0,7.0,0.0,29.0,32.3,27.4,11.3,13318
Goonellabah,310.0,1947.0,1723.0,743.0,158.0,6.4,39.9,35.3,15.2,3.2,11711
Chilcotts Grass,0.0,15.0,33.0,28.0,0.0,0.0,19.7,43.4,36.8,0.0,10903
Eden Creek,0.0,23.0,16.0,17.0,7.0,0.0,36.5,25.4,27.0,11.1,11376
West Wiangaree,0.0,14.0,20.0,9.0,0.0,0.0,32.6,46.5,20.9,0.0,14254
Wiangaree,0.0,21.0,18.0,11.0,0.0,0.0,42.0,36.0,22.0,0.0,14283
Doubtful Creek,0.0,15.0,23.0,10.0,3.0,0.0,29.4,45.1,19.6,5.9,11282
Ettrick (NSW),0.0,16.0,12.0,13.0,3.0,0.0,36.4,27.3,29.5,6.8,11448
Kyogle,76.0,410.0,246.0,84.0,62.0,8.7,46.7,28.0,9.6,7.1,12229
Cedar Point,0.0,10.0,32.0,17.0,0.0,0.0,16.9,54.2,28.8,0.0,10871
Geneva,11.0,105.0,98.0,50.0,16.0,3.9,37.5,35.0,17.9,5.7,11599
Upper Horseshoe Creek,0.0,14.0,14.0,4.0,0.0,0.0,43.8,43.8,12.5,0.0,14028
Barkers Vale,0.0,30.0,31.0,6.0,0.0,0.0,44.8,46.3,9.0,0.0,10201
Wadeville,0.0,43.0,28.0,4.0,3.0,0.0,55.1,35.9,5.1,3.8,14082
Lillian Rock,8.0,38.0,28.0,4.0,3.0,9.9,46.9,34.6,4.9,3.7,12323
Fawcetts Plain,0.0,7.0,21.0,21.0,3.0,0.0,13.5,40.4,40.4,5.8,11498
New Park,3.0,15.0,24.0,10.0,3.0,5.5,27.3,43.6,18.2,5.5,12945
Homeleigh,0.0,3.0,24.0,14.0,0.0,0.0,7.3,58.5,34.1,0.0,11931
Cawongla,0.0,28.0,34.0,16.0,0.0,0.0,35.9,43.6,20.5,0.0,10864
Green Pigeon,0.0,24.0,24.0,11.0,0.0,0.0,40.7,40.7,18.6,0.0,11752
Collins Creek,0.0,23.0,13.0,11.0,3.0,0.0,46.0,26.0,22.0,6.0,10978
East Lismore,184.0,788.0,581.0,217.0,86.0,9.9,42.5,31.3,11.7,4.6,11358
Lismore (NSW),198.0,589.0,365.0,148.0,69.0,14.5,43.0,26.7,10.8,5.0,12344
Lismore Heights,55.0,396.0,313.0,108.0,24.0,6.1,44.2,34.9,12.1,2.7,12345
South Lismore,71.0,263.0,217.0,99.0,31.0,10.4,38.6,31.9,14.5,4.6,13589
Girards Hill,63.0,251.0,163.0,62.0,31.0,11.1,44.0,28.6,10.9,5.4,11631
Monaltrie,0.0,22.0,33.0,20.0,3.0,0.0,28.2,42.3,25.6,3.8,12674
North Lismore,22.0,119.0,97.0,34.0,20.0,7.5,40.8,33.2,11.6,6.8,12994
Loftville,30.0,70.0,18.0,10.0,11.0,21.6,50.4,12.9,7.2,7.9,12372
Modanville,8.0,44.0,93.0,57.0,5.0,3.9,21.3,44.9,27.5,2.4,12655
Clunes (NSW),3.0,97.0,142.0,62.0,7.0,1.0,31.2,45.7,19.9,2.3,10939
Terania Creek,0.0,33.0,29.0,9.0,3.0,0.0,44.6,39.2,12.2,4.1,13794
The Channon,5.0,51.0,50.0,29.0,9.0,3.5,35.4,34.7,20.1,6.2,13816
Koonorigan,0.0,41.0,52.0,27.0,0.0,0.0,34.2,43.3,22.5,0.0,12188
Rosebank,3.0,46.0,77.0,25.0,4.0,1.9,29.7,49.7,16.1,2.6,13401
Corndale (NSW),3.0,34.0,56.0,29.0,0.0,2.5,27.9,45.9,23.8,0.0,11076
East Coraki,0.0,13.0,27.0,28.0,0.0,0.0,19.1,39.7,41.2,0.0,11347
Tregeagle,0.0,22.0,69.0,53.0,4.0,0.0,14.9,46.6,35.8,2.7,13933
Wyrallah,0.0,24.0,73.0,43.0,6.0,0.0,16.4,50.0,29.5,4.1,14449
South Gundurimba,0.0,30.0,50.0,32.0,4.0,0.0,25.9,43.1,27.6,3.4,13585
Caniaba,0.0,44.0,80.0,73.0,7.0,0.0,21.6,39.2,35.8,3.4,10790
Blakebrook,0.0,17.0,16.0,15.0,0.0,0.0,35.4,33.3,31.2,0.0,10402
Booerie Creek,3.0,13.0,19.0,20.0,3.0,5.2,22.4,32.8,34.5,5.2,10475
Goolmangar,0.0,23.0,21.0,20.0,0.0,0.0,35.9,32.8,31.2,0.0,11708
Keerrong,0.0,18.0,19.0,11.0,5.0,0.0,34.0,35.8,20.8,9.4,12083
Tullera,0.0,20.0,36.0,33.0,0.0,0.0,22.5,40.4,37.1,0.0,13956
Bexhill,3.0,40.0,71.0,39.0,14.0,1.8,24.0,42.5,23.4,8.4,10333
Richmond Hill (NSW),0.0,64.0,139.0,95.0,4.0,0.0,21.2,46.0,31.5,1.3,13361
Boat Harbour (Lismore - NSW),0.0,9.0,24.0,17.0,3.0,0.0,17.0,45.3,32.1,5.7,10424
McLeans Ridges,0.0,20.0,95.0,53.0,3.0,0.0,11.7,55.6,31.0,1.8,12545
Eltham (NSW),0.0,17.0,49.0,37.0,12.0,0.0,14.8,42.6,32.2,10.4,11409
Lindendale,0.0,15.0,35.0,23.0,3.0,0.0,19.7,46.1,30.3,3.9,12336
Nimbin,63.0,292.0,152.0,68.0,38.0,10.3,47.6,24.8,11.1,6.2,12965
Stony Chute,4.0,26.0,23.0,12.0,3.0,5.9,38.2,33.8,17.6,4.4,13667
Blue Knob,5.0,54.0,26.0,7.0,3.0,5.3,56.8,27.4,7.4,3.2,10416
Tuntable Creek,0.0,45.0,26.0,12.0,3.0,0.0,52.3,30.2,14.0,3.5,13971
Coffee Camp,0.0,25.0,25.0,23.0,4.0,0.0,32.5,32.5,29.9,5.2,10958
Tucki Tucki,0.0,3.0,17.0,26.0,4.0,0.0,6.0,34.0,52.0,8.0,13946
Larnook,5.0,65.0,45.0,22.0,10.0,3.4,44.2,30.6,15.0,6.8,12279
Georgica,0.0,30.0,43.0,15.0,0.0,0.0,34.1,48.9,17.0,0.0,11604
Jiggi,7.0,32.0,47.0,41.0,3.0,5.4,24.6,36.2,31.5,2.3,12026
Rock Valley,0.0,16.0,49.0,24.0,3.0,0.0,17.4,53.3,26.1,3.3,13378
Leycester,0.0,9.0,31.0,11.0,0.0,0.0,17.6,60.8,21.6,0.0,12314
Dunoon,5.0,81.0,122.0,50.0,7.0,1.9,30.6,46.0,18.9,2.6,11325
Dorroughby,0.0,15.0,21.0,11.0,3.0,0.0,30.0,42.0,22.0,6.0,11280
Numulgi,0.0,13.0,29.0,26.0,3.0,0.0,18.3,40.8,36.6,4.2,13041
Fingal Head,5.0,61.0,62.0,49.0,10.0,2.7,32.6,33.2,26.2,5.3,11519
Casuarina (NSW),7.0,248.0,452.0,123.0,22.0,0.8,29.1,53.1,14.4,2.6,10851
Kingscliff,126.0,1125.0,1076.0,386.0,106.0,4.5,39.9,38.2,13.7,3.8,12154
Chinderah,91.0,427.0,138.0,58.0,66.0,11.7,54.7,17.7,7.4,8.5,10905
Cudgen,8.0,77.0,120.0,81.0,3.0,2.8,26.6,41.5,28.0,1.0,11143
Murwillumbah,218.0,1090.0,899.0,338.0,126.0,8.2,40.8,33.7,12.7,4.7,12866
South Murwillumbah,21.0,152.0,135.0,66.0,23.0,5.3,38.3,34.0,16.6,5.8,13593
Bray Park (NSW),19.0,121.0,98.0,46.0,12.0,6.4,40.9,33.1,15.5,4.1,10552
Smiths Creek (Tweed - NSW),3.0,33.0,56.0,20.0,5.0,2.6,28.2,47.9,17.1,4.3,13562
Mount Burrell,3.0,43.0,27.0,20.0,3.0,3.1,44.8,28.1,20.8,3.1,12749
Byrrill Creek,0.0,22.0,14.0,11.0,0.0,0.0,46.8,29.8,23.4,0.0,10734
Pumpenbil,0.0,27.0,29.0,12.0,4.0,0.0,37.5,40.3,16.7,5.6,13272
Tumbulgum,3.0,40.0,69.0,29.0,5.0,2.1,27.4,47.3,19.9,3.4,13964
Limpinwood,3.0,20.0,36.0,19.0,8.0,3.5,23.3,41.9,22.1,9.3,12333
Tyalgum,4.0,71.0,68.0,33.0,3.0,2.2,39.7,38.0,18.4,1.7,13994
Dum Dum,0.0,11.0,22.0,10.0,0.0,0.0,25.6,51.2,23.3,0.0,11304
Byangum,0.0,11.0,19.0,12.0,3.0,0.0,24.4,42.2,26.7,6.7,10729
Eungella (NSW),0.0,22.0,45.0,17.0,7.0,0.0,24.2,49.5,18.7,7.7,11460
Crystal Creek (NSW),5.0,25.0,31.0,21.0,0.0,6.1,30.5,37.8,25.6,0.0,11138
Chillingham,0.0,32.0,36.0,14.0,7.0,0.0,36.0,40.4,15.7,7.9,10904
Stokers Siding,3.0,66.0,97.0,56.0,13.0,1.3,28.1,41.3,23.8,5.5,13664
Numinbah,3.0,16.0,16.0,15.0,0.0,6.0,32.0,32.0,30.0,0.0,13040
Upper Crystal Creek,4.0,21.0,25.0,18.0,6.0,5.4,28.4,33.8,24.3,8.1,14021
Nobbys Creek,0.0,22.0,50.0,29.0,3.0,0.0,21.2,48.1,27.9,2.9,12968
Dungay,0.0,19.0,29.0,23.0,3.0,0.0,25.7,39.2,31.1,4.1,11318
Kynnumboon,0.0,13.0,25.0,13.0,3.0,0.0,24.1,46.3,24.1,5.6,12228
Dunbible,0.0,31.0,45.0,37.0,6.0,0.0,26.1,37.8,31.1,5.0,11309
Fernvale (NSW),0.0,17.0,39.0,27.0,0.0,0.0,20.5,47.0,32.5,0.0,11511
Kielvale,0.0,26.0,40.0,29.0,3.0,0.0,26.5,40.8,29.6,3.1,12122
Reserve Creek,3.0,19.0,13.0,16.0,0.0,5.9,37.3,25.5,31.4,0.0,13353
Dulguigan,0.0,8.0,21.0,17.0,0.0,0.0,17.4,45.7,37.0,0.0,11302
Urliup,3.0,14.0,32.0,20.0,4.0,4.1,19.2,43.8,27.4,5.5,14060
Eviron,0.0,15.0,28.0,16.0,0.0,0.0,25.4,47.5,27.1,0.0,11472
Duranbah,0.0,18.0,27.0,21.0,4.0,0.0,25.7,38.6,30.0,5.7,11331
Condong,0.0,22.0,50.0,22.0,3.0,0.0,22.7,51.5,22.7,3.1,11003
Farrants Hill,0.0,15.0,30.0,8.0,0.0,0.0,28.3,56.6,15.1,0.0,11493
Clothiers Creek,0.0,12.0,36.0,37.0,4.0,0.0,13.5,40.4,41.6,4.5,10936
Nunderi,0.0,47.0,90.0,79.0,3.0,0.0,21.5,41.1,36.1,1.4,13042
Uki,4.0,86.0,92.0,39.0,19.0,1.7,35.8,38.3,16.2,7.9,14000
Bogangar,40.0,402.0,467.0,159.0,55.0,3.6,35.8,41.6,14.2,4.9,10439
Mooball,0.0,15.0,28.0,16.0,4.0,0.0,23.8,44.4,25.4,6.3,12687
Cabarita Beach,0.0,20.0,10.0,3.0,0.0,0.0,60.6,30.3,9.1,0.0,10737
Pottsville,53.0,806.0,1072.0,328.0,77.0,2.3,34.5,45.9,14.0,3.3,13257
Crabbes Creek,3.0,19.0,47.0,31.0,4.0,2.9,18.3,45.2,29.8,3.8,11102
Upper Burringbar,0.0,32.0,44.0,17.0,8.0,0.0,31.7,43.6,16.8,7.9,14015
Burringbar,7.0,82.0,122.0,77.0,10.0,2.3,27.5,40.9,25.8,3.4,10713
Hastings Point,24.0,197.0,69.0,11.0,18.0,7.5,61.8,21.6,3.4,5.6,11868
Round Mountain,0.0,4.0,15.0,20.0,3.0,0.0,9.5,35.7,47.6,7.1,13425
Cudgera Creek,0.0,16.0,46.0,38.0,6.0,0.0,15.1,43.4,35.8,5.7,11144
Tweed Heads,418.0,1764.0,907.0,343.0,221.0,11.4,48.3,24.8,9.4,6.0,13984
Tweed Heads West,248.0,1213.0,700.0,282.0,136.0,9.6,47.0,27.1,10.9,5.3,13986
Piggabeen,0.0,23.0,43.0,33.0,3.0,0.0,22.5,42.2,32.4,2.9,13202
Bilambil Heights,28.0,369.0,529.0,238.0,25.0,2.4,31.0,44.5,20.0,2.1,10348
Cobaki,0.0,9.0,26.0,25.0,0.0,0.0,15.0,43.3,41.7,0.0,10947
Bilambil,0.0,36.0,47.0,44.0,3.0,0.0,27.7,36.2,33.8,2.3,10347
Carool,0.0,8.0,22.0,21.0,4.0,0.0,14.5,40.0,38.2,7.3,10822
Glengarrie,3.0,21.0,21.0,8.0,5.0,5.2,36.2,36.2,13.8,8.6,11666
Banora Point,346.0,2602.0,2245.0,944.0,235.0,5.4,40.8,35.2,14.8,3.7,10185
Terranora,4.0,175.0,423.0,284.0,15.0,0.4,19.4,46.9,31.5,1.7,13802
North Tumbulgum,0.0,15.0,41.0,26.0,3.0,0.0,17.6,48.2,30.6,3.5,13012
Tweed Heads South,355.0,1591.0,823.0,305.0,203.0,10.8,48.6,25.1,9.3,6.2,13985
Griffith (NSW),444.0,2077.0,2287.0,1044.0,303.0,7.2,33.7,37.2,17.0,4.9,11782
Yoogali,10.0,76.0,137.0,130.0,9.0,2.8,21.0,37.8,35.9,2.5,14516
Bilbul,0.0,37.0,76.0,63.0,9.0,0.0,20.0,41.1,34.1,4.9,10349
Yenda (NSW),19.0,143.0,212.0,136.0,26.0,3.5,26.7,39.6,25.4,4.9,14504
Beelbangera,3.0,22.0,62.0,44.0,4.0,2.2,16.3,45.9,32.6,3.0,10251
Myall Park (NSW),0.0,6.0,25.0,23.0,3.0,0.0,10.5,43.9,40.4,5.3,12873
Binya,0.0,3.0,19.0,17.0,3.0,0.0,7.1,45.2,40.5,7.1,10373
Hillston,32.0,152.0,187.0,118.0,35.0,6.1,29.0,35.7,22.5,6.7,11912
Rankins Springs,0.0,15.0,15.0,27.0,3.0,0.0,25.0,25.0,45.0,5.0,13316
Whitton,8.0,57.0,60.0,43.0,4.0,4.7,33.1,34.9,25.0,2.3,14280
Tharbogang,4.0,24.0,52.0,55.0,4.0,2.9,17.3,37.4,39.6,2.9,13811
Hanwood,9.0,88.0,179.0,113.0,13.0,2.2,21.9,44.5,28.1,3.2,11850
Coleambally,15.0,117.0,165.0,137.0,30.0,3.2,25.2,35.6,29.5,6.5,10964
Darlington Point,15.0,138.0,154.0,96.0,24.0,3.5,32.3,36.1,22.5,5.6,11215
Carrathool,0.0,19.0,24.0,27.0,3.0,0.0,26.0,32.9,37.0,4.1,10827
Goolgowi,5.0,49.0,54.0,36.0,4.0,3.4,33.1,36.5,24.3,2.7,11705
Merriwagga,0.0,13.0,17.0,20.0,0.0,0.0,26.0,34.0,40.0,0.0,12586
Nericon,0.0,19.0,39.0,35.0,3.0,0.0,19.8,40.6,36.5,3.1,12927
Lake Wyangan,3.0,43.0,112.0,119.0,10.0,1.0,15.0,39.0,41.5,3.5,12255
Murrami,0.0,28.0,25.0,15.0,3.0,0.0,39.4,35.2,21.1,4.2,12850
Stanbridge,3.0,6.0,20.0,26.0,6.0,4.9,9.8,32.8,42.6,9.8,13646
Leeton,170.0,965.0,1196.0,610.0,161.0,5.5,31.1,38.6,19.7,5.2,12293
Yanco,10.0,96.0,70.0,52.0,10.0,4.2,40.3,29.4,21.8,4.2,14460
Corbie Hill,0.0,13.0,29.0,31.0,3.0,0.0,17.1,38.2,40.8,3.9,11068
Merungle Hill,0.0,13.0,27.0,37.0,4.0,0.0,16.0,33.3,45.7,4.9,12590
Narrandera,126.0,600.0,549.0,270.0,102.0,7.7,36.4,33.3,16.4,6.2,12906
Grong Grong,0.0,22.0,34.0,30.0,10.0,0.0,22.9,35.4,31.2,10.4,11784
Boree Creek,3.0,25.0,18.0,29.0,4.0,3.8,31.6,22.8,36.7,5.1,10512
Gillenbah,0.0,4.0,19.0,14.0,0.0,0.0,10.8,51.4,37.8,0.0,11622
Tumbarumba,26.0,250.0,277.0,117.0,44.0,3.6,35.0,38.8,16.4,6.2,13961
Khancoban,7.0,54.0,39.0,14.0,8.0,5.7,44.3,32.0,11.5,6.6,12111
Rosewood (Snowy Valleys - NSW),0.0,10.0,37.0,20.0,5.0,0.0,13.9,51.4,27.8,6.9,13415
Humula,0.0,14.0,17.0,18.0,5.0,0.0,25.9,31.5,33.3,9.3,11952
Tooma,0.0,12.0,11.0,15.0,4.0,0.0,28.6,26.2,35.7,9.5,13906
Tumut,154.0,875.0,843.0,383.0,98.0,6.5,37.2,35.8,16.3,4.2,13966
Gilmore (NSW),0.0,9.0,21.0,34.0,0.0,0.0,14.1,32.8,53.1,0.0,11626
Batlow,35.0,182.0,179.0,113.0,26.0,6.5,34.0,33.5,21.1,4.9,10232
Talbingo,3.0,49.0,27.0,11.0,5.0,3.2,51.6,28.4,11.6,5.3,13730
Gocup,0.0,7.0,22.0,16.0,0.0,0.0,15.6,48.9,35.6,0.0,11690
Bombowlee,0.0,24.0,41.0,34.0,4.0,0.0,23.3,39.8,33.0,3.9,10459
Lacmalac,0.0,14.0,28.0,14.0,0.0,0.0,25.0,50.0,25.0,0.0,12231
Mundongo,0.0,10.0,34.0,22.0,3.0,0.0,14.5,49.3,31.9,4.3,12840
Adelong,24.0,123.0,150.0,65.0,17.0,6.3,32.5,39.6,17.2,4.5,10018
Cootamundra,215.0,1088.0,884.0,412.0,134.0,7.9,39.8,32.3,15.1,4.9,11053
Stockinbingal,3.0,44.0,47.0,44.0,4.0,2.1,31.0,33.1,31.0,2.8,13660
Wallendbeen,0.0,24.0,43.0,30.0,6.0,0.0,23.3,41.7,29.1,5.8,14113
Gundagai,49.0,244.0,235.0,104.0,31.0,7.4,36.8,35.4,15.7,4.7,11803
South Gundagai,12.0,86.0,117.0,67.0,14.0,4.1,29.1,39.5,22.6,4.7,13584
Tumblong,0.0,8.0,27.0,18.0,4.0,0.0,14.0,47.4,31.6,7.0,13963
Nangus,3.0,16.0,25.0,26.0,3.0,4.1,21.9,34.2,35.6,4.1,12890
Coolac,0.0,15.0,30.0,26.0,3.0,0.0,20.3,40.5,35.1,4.1,11022
Junee,96.0,506.0,500.0,263.0,97.0,6.6,34.6,34.2,18.0,6.6,12046
Harefield,0.0,0.0,16.0,33.0,0.0,0.0,0.0,32.7,67.3,0.0,11853
Old Junee,0.0,23.0,37.0,32.0,0.0,0.0,25.0,40.2,34.8,0.0,13078
Illabo,0.0,12.0,23.0,19.0,6.0,0.0,20.0,38.3,31.7,10.0,11972
Bethungra,3.0,9.0,17.0,31.0,10.0,4.3,12.9,24.3,44.3,14.3,10328
Wantabadgery,0.0,13.0,21.0,27.0,0.0,0.0,21.3,34.4,44.3,0.0,14136
Temora,149.0,664.0,631.0,327.0,93.0,8.0,35.6,33.9,17.5,5.0,13784
Springdale (NSW),0.0,9.0,21.0,13.0,0.0,0.0,20.9,48.8,30.2,0.0,13621
Lake Albert (NSW),36.0,609.0,964.0,537.0,47.0,1.6,27.8,44.0,24.5,2.1,12238
East Wagga Wagga,3.0,33.0,31.0,16.0,4.0,3.4,37.9,35.6,18.4,4.6,11364
Kooringal (NSW),189.0,1124.0,1031.0,379.0,119.0,6.7,39.5,36.3,13.3,4.2,12193
Gumly Gumly,3.0,16.0,45.0,28.0,5.0,3.1,16.5,46.4,28.9,5.2,11800
Tatton,5.0,201.0,407.0,187.0,4.0,0.6,25.0,50.6,23.3,0.5,13775
Estella,17.0,222.0,340.0,174.0,18.0,2.2,28.8,44.1,22.6,2.3,11444
Boorooma,0.0,54.0,152.0,57.0,5.0,0.0,20.1,56.7,21.3,1.9,10501
North Wagga Wagga,11.0,51.0,81.0,76.0,12.0,4.8,22.1,35.1,32.9,5.2,13014
Cartwrights Hill,0.0,14.0,27.0,20.0,6.0,0.0,20.9,40.3,29.9,9.0,10839
