,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Schofields,2179.0,296.0,259.0,1970.0,43.8,5.9,5.2,39.6,13502
Shanes Park,157.0,33.0,18.0,144.0,39.9,8.4,4.6,36.6,13524
Marsden Park,416.0,49.0,42.0,382.0,41.3,4.9,4.2,37.9,12505
Colebee,1218.0,124.0,81.0,432.0,63.0,6.4,4.2,22.4,10965
Bidwill (NSW),1347.0,275.0,147.0,1918.0,31.4,6.4,3.4,44.7,10340
Hebersham,2807.0,328.0,219.0,1866.0,49.3,5.8,3.9,32.8,11886
Dharruk,1368.0,182.0,103.0,947.0,49.4,6.6,3.7,34.2,11248
Blackett,1250.0,221.0,129.0,1476.0,36.3,6.4,3.7,42.8,10392
Emerton,1000.0,139.0,79.0,805.0,44.4,6.2,3.5,35.8,11413
Glendenning,3328.0,227.0,180.0,1219.0,64.9,4.4,3.5,23.8,11659
Dean Park,1687.0,182.0,127.0,1034.0,52.4,5.6,3.9,32.1,11224
Plumpton (NSW),6413.0,374.0,290.0,1672.0,69.7,4.1,3.2,18.2,13230
Oakhurst (NSW),4160.0,366.0,273.0,1780.0,59.8,5.3,3.9,25.6,13058
Hassall Grove,2446.0,286.0,176.0,1345.0,54.1,6.3,3.9,29.8,11866
Shalvey,1278.0,225.0,97.0,1538.0,36.9,6.5,2.8,44.4,13523
Willmot,769.0,151.0,111.0,1087.0,31.5,6.2,4.5,44.5,14302
Tregear,1141.0,220.0,165.0,1901.0,29.5,5.7,4.3,49.1,13934
Lethbridge Park,1466.0,306.0,181.0,2205.0,30.8,6.4,3.8,46.4,12307
Ropes Crossing,3726.0,336.0,220.0,1587.0,60.3,5.4,3.6,25.7,13397
Mount Druitt,12349.0,601.0,416.0,2442.0,73.8,3.6,2.5,14.6,12756
Whalan,2240.0,403.0,218.0,2447.0,37.5,6.7,3.6,40.9,14266
Eastern Creek,383.0,47.0,46.0,309.0,46.0,5.6,5.5,37.1,11366
Minchinbury,3169.0,360.0,244.0,1667.0,56.5,6.4,4.3,29.7,12633
Rooty Hill,10061.0,556.0,441.0,2923.0,68.4,3.8,3.0,19.9,13395
Botany,4515.0,840.0,652.0,3927.0,41.7,7.8,6.0,36.3,10517
Mascot,9689.0,652.0,466.0,2977.0,65.6,4.4,3.2,20.1,12519
Eastlakes,4957.0,320.0,210.0,1013.0,71.8,4.6,3.0,14.7,11368
Rosebery (NSW),6342.0,540.0,406.0,2061.0,62.6,5.3,4.0,20.3,13405
Pagewood,1868.0,277.0,160.0,1282.0,49.2,7.3,4.2,33.7,13125
Daceyville,472.0,79.0,58.0,446.0,39.1,6.5,4.8,37.0,11185
Hillsdale,3656.0,222.0,192.0,911.0,66.4,4.0,3.5,16.5,11911
Eastgardens,461.0,60.0,36.0,246.0,53.7,7.0,4.2,28.6,11367
Matraville,4745.0,668.0,455.0,3216.0,48.4,6.8,4.6,32.8,12524
Marrickville,12967.0,1966.0,1385.0,8067.0,48.8,7.4,5.2,30.3,12504
Petersham,3053.0,730.0,563.0,3022.0,37.6,9.0,6.9,37.3,13190
Dulwich Hill,6267.0,1162.0,833.0,4381.0,45.7,8.5,6.1,31.9,11303
Newtown (NSW),5826.0,1225.0,1023.0,5457.0,38.8,8.2,6.8,36.3,12960
Lewisham (NSW),1167.0,263.0,195.0,1299.0,36.9,8.3,6.2,41.0,12313
Stanmore (NSW),2846.0,736.0,480.0,3117.0,35.8,9.3,6.0,39.2,13650
Camperdown (NSW),4606.0,760.0,564.0,3424.0,44.5,7.3,5.5,33.1,10781
Enmore (Inner West - NSW),1421.0,362.0,240.0,1461.0,36.6,9.3,6.2,37.6,11425
St Peters (NSW),1245.0,261.0,217.0,1148.0,39.6,8.3,6.9,36.6,13644
Sydenham (NSW),582.0,69.0,59.0,349.0,51.2,6.1,5.2,30.7,13714
Tempe,1666.0,273.0,211.0,1211.0,46.8,7.7,5.9,34.0,13785
Darlinghurst,4938.0,763.0,470.0,3268.0,43.6,6.7,4.2,28.9,11212
Erskineville,3193.0,700.0,526.0,2855.0,39.9,8.7,6.6,35.6,11439
Alexandria,3386.0,692.0,490.0,2982.0,40.9,8.4,5.9,36.0,10030
Glebe (NSW),4692.0,811.0,581.0,4089.0,40.7,7.0,5.0,35.5,11641
Forest Lodge,2229.0,326.0,276.0,1364.0,48.5,7.1,6.0,29.7,11546
Annandale (NSW),3146.0,906.0,640.0,3991.0,33.3,9.6,6.8,42.3,10061
Darlington (Sydney - NSW),1630.0,189.0,170.0,851.0,52.7,6.1,5.5,27.5,11214
Potts Point,3186.0,463.0,378.0,2432.0,33.8,4.9,4.0,25.8,13256
Elizabeth Bay,2128.0,333.0,257.0,1870.0,40.8,6.4,4.9,35.8,11395
Sydney,12841.0,287.0,275.0,1485.0,74.4,1.7,1.6,8.6,13715
Woolloomooloo,1851.0,229.0,137.0,1203.0,46.1,5.7,3.4,30.0,14406
Rushcutters Bay,1063.0,183.0,124.0,781.0,41.7,7.2,4.9,30.6,13444
Pyrmont,7932.0,514.0,506.0,2581.0,61.9,4.0,3.9,20.1,13284
Ultimo,6615.0,182.0,186.0,782.0,74.7,2.1,2.1,8.8,14006
Redfern,6199.0,861.0,616.0,3992.0,46.9,6.5,4.7,30.2,13339
Eveleigh,305.0,47.0,32.0,183.0,45.4,7.0,4.8,27.2,11471
Chippendale,6104.0,219.0,199.0,1020.0,70.8,2.5,2.3,11.8,10907
Surry Hills,8273.0,948.0,668.0,4266.0,50.4,5.8,4.1,26.0,13699
Haymarket,5929.0,44.0,68.0,213.0,80.7,0.6,0.9,2.9,11877
Dawes Point,150.0,29.0,25.0,131.0,41.2,8.0,6.9,36.0,11222
Millers Point,708.0,62.0,42.0,430.0,47.8,4.2,2.8,29.0,12619
Barangaroo,77.0,3.0,5.0,20.0,41.0,1.6,2.7,10.6,10191
Balmain East,648.0,175.0,121.0,805.0,33.5,9.1,6.3,41.6,10165
The Rocks (Sydney - NSW),284.0,37.0,22.0,194.0,36.5,4.7,2.8,24.9,13840
Waterloo (NSW),8525.0,617.0,472.0,3129.0,58.3,4.2,3.2,21.4,14183
Zetland,7012.0,350.0,251.0,1509.0,69.6,3.5,2.5,15.0,14524
Beaconsfield (NSW),438.0,64.0,64.0,359.0,44.4,6.5,6.5,36.4,10239
Bronte,2403.0,658.0,474.0,2664.0,35.7,9.8,7.0,39.6,10594
Tamarama,599.0,122.0,121.0,547.0,37.1,7.5,7.5,33.8,13741
Bondi,5148.0,762.0,502.0,2475.0,51.2,7.6,5.0,24.6,10464
Bondi Beach,5368.0,821.0,644.0,3071.0,46.1,7.0,5.5,26.4,10465
North Bondi,4244.0,860.0,606.0,2662.0,46.3,9.4,6.6,29.0,12984
Waverley (NSW),1779.0,310.0,259.0,1380.0,41.0,7.1,6.0,31.8,14200
Bondi Junction,5133.0,549.0,470.0,2008.0,54.4,5.8,5.0,21.3,10467
Queens Park (NSW),1154.0,245.0,213.0,1215.0,37.6,8.0,6.9,39.6,13294
Centennial Park (NSW),952.0,186.0,132.0,866.0,40.2,7.8,5.6,36.5,10873
Darling Point,1600.0,333.0,223.0,1462.0,38.2,8.0,5.3,34.9,11211
Edgecliff,983.0,201.0,137.0,894.0,38.0,7.8,5.3,34.6,11379
Double Bay,1939.0,384.0,254.0,1604.0,41.7,8.3,5.5,34.5,11281
Bellevue Hill,4639.0,1022.0,685.0,3494.0,43.3,9.5,6.4,32.6,10271
Rose Bay (NSW),5005.0,856.0,655.0,2742.0,49.8,8.5,6.5,27.3,13398
Paddington (NSW),4537.0,1174.0,886.0,4994.0,35.1,9.1,6.9,38.7,13115
Point Piper,607.0,121.0,72.0,470.0,42.9,8.5,5.1,33.2,13233
Vaucluse,4508.0,820.0,651.0,2757.0,48.3,8.8,7.0,29.5,14071
Dover Heights,2251.0,328.0,240.0,791.0,59.2,8.6,6.3,20.8,11284
Watsons Bay,285.0,91.0,43.0,342.0,33.9,10.8,5.1,40.7,14187
Woollahra,2662.0,619.0,462.0,2855.0,35.9,8.4,6.2,38.5,14404
Clovelly,1619.0,399.0,374.0,2043.0,34.2,8.4,7.9,43.2,10938
South Coogee,2452.0,379.0,307.0,1994.0,44.6,6.9,5.6,36.3,13579
Coogee (NSW),6444.0,1205.0,844.0,5092.0,42.4,7.9,5.5,33.5,11015
La Perouse,94.0,20.0,17.0,231.0,23.2,4.9,4.2,56.9,12230
Little Bay,1963.0,277.0,239.0,1425.0,43.8,6.2,5.3,31.8,12349
Malabar,1299.0,284.0,198.0,1708.0,24.0,5.2,3.7,31.5,12453
Chifley (NSW),1253.0,213.0,200.0,1338.0,38.8,6.6,6.2,41.4,10901
Phillip Bay,252.0,35.0,61.0,313.0,35.5,4.9,8.6,44.1,13193
Kensington (NSW),9017.0,770.0,595.0,3498.0,60.1,5.1,4.0,23.3,12099
Kingsford (NSW),10644.0,739.0,536.0,2734.0,68.7,4.8,3.5,17.7,12156
Maroubra,16785.0,1989.0,1483.0,8402.0,54.7,6.5,4.8,27.4,12501
Randwick,14490.0,2108.0,1735.0,9030.0,48.3,7.0,5.8,30.1,13312
Georges Hall,4810.0,784.0,392.0,2351.0,53.2,8.7,4.3,26.0,11601
Bass Hill,5586.0,807.0,387.0,1856.0,61.5,8.9,4.3,20.4,10224
Yagoona,12206.0,1186.0,615.0,2834.0,67.8,6.6,3.4,15.7,14453
Villawood,3779.0,354.0,125.0,818.0,62.7,5.9,2.1,13.6,14074
Greenacre,16690.0,2066.0,980.0,3118.0,68.5,8.5,4.0,12.8,11757
Potts Hill,695.0,28.0,26.0,63.0,77.8,3.1,2.9,7.1,13255
Milperra,990.0,329.0,174.0,2334.0,25.0,8.3,4.4,59.0,12625
Revesby,7712.0,927.0,549.0,4217.0,54.4,6.5,3.9,29.8,13355
Condell Park,7797.0,897.0,414.0,1830.0,67.3,7.7,3.6,15.8,11001
Bankstown,25146.0,1371.0,806.0,2108.0,78.3,4.3,2.5,6.6,10180
Mount Lewis,843.0,84.0,60.0,153.0,70.6,7.0,5.0,12.8,12774
Punchbowl (Canterbury-Bankstown - NSW),15279.0,1236.0,631.0,1786.0,75.5,6.1,3.1,8.8,13273
Padstow,7242.0,787.0,504.0,3974.0,54.4,5.9,3.8,29.9,13120
Padstow Heights,1234.0,295.0,173.0,1693.0,34.9,8.3,4.9,47.9,13121
Panania,5258.0,864.0,643.0,5108.0,42.3,7.0,5.2,41.1,13144
East Hills,1264.0,200.0,165.0,1428.0,39.4,6.2,5.1,44.5,11351
Picnic Point,1983.0,539.0,292.0,3025.0,32.2,8.8,4.7,49.2,13199
Revesby Heights,631.0,149.0,84.0,745.0,37.8,8.9,5.0,44.6,13356
Birrong,2109.0,212.0,109.0,507.0,68.0,6.8,3.5,16.3,10379
Belmore,9195.0,636.0,403.0,1672.0,72.3,5.0,3.2,13.1,10279
Belfield,3949.0,435.0,265.0,1372.0,62.5,6.9,4.2,21.7,10257
Campsie,20360.0,591.0,515.0,1544.0,83.0,2.4,2.1,6.3,10782
Canterbury (NSW),4867.0,391.0,247.0,1245.0,67.3,5.4,3.4,17.2,10797
Clemton Park,971.0,119.0,70.0,432.0,58.3,7.1,4.2,25.9,10928
Earlwood,9876.0,1313.0,913.0,4498.0,55.7,7.4,5.1,25.4,11343
Kingsgrove,7772.0,729.0,560.0,2776.0,62.4,5.9,4.5,22.3,12158
Riverwood,8552.0,477.0,366.0,1901.0,70.6,3.9,3.0,15.7,13371
Roselands,7152.0,789.0,455.0,2426.0,61.8,6.8,3.9,21.0,13409
Beverly Hills,6752.0,497.0,401.0,2019.0,66.5,4.9,4.0,19.9,10331
Narwee,3961.0,254.0,196.0,904.0,70.4,4.5,3.5,16.1,12912
Lakemba,14321.0,433.0,299.0,791.0,84.1,2.5,1.8,4.6,12257
Wiley Park,8265.0,322.0,199.0,549.0,81.6,3.2,2.0,5.4,14293
Hurstville,24930.0,668.0,520.0,2339.0,83.6,2.2,1.7,7.8,11964
Carlton (NSW),7266.0,561.0,422.0,1898.0,67.8,5.2,3.9,17.7,10819
Penshurst (NSW),8115.0,644.0,479.0,2879.0,63.5,5.0,3.7,22.5,13186
Oatley,3789.0,824.0,662.0,4811.0,36.1,7.9,6.3,45.9,13064
Mortdale,5458.0,633.0,459.0,3318.0,52.4,6.1,4.4,31.8,12728
Peakhurst,4912.0,763.0,432.0,3836.0,46.6,7.2,4.1,36.4,13168
Hurstville Grove,1472.0,193.0,128.0,783.0,55.3,7.3,4.8,29.4,11965
Lugarno,1971.0,509.0,305.0,2642.0,35.2,9.1,5.4,47.1,12421
Peakhurst Heights,756.0,184.0,95.0,1226.0,32.4,7.9,4.1,52.5,13169
South Hurstville,3379.0,281.0,189.0,999.0,65.8,5.5,3.7,19.4,13587
Blakehurst,3259.0,445.0,298.0,1964.0,52.4,7.2,4.8,31.6,10403
Kyle Bay,470.0,78.0,51.0,391.0,45.5,7.6,4.9,37.9,12227
Connells Point,1369.0,202.0,156.0,1001.0,48.4,7.1,5.5,35.4,11013
Carss Park,552.0,100.0,61.0,489.0,44.0,8.0,4.9,39.0,10837
Arncliffe,6890.0,639.0,428.0,1897.0,65.1,6.0,4.0,17.9,10086
Wolli Creek,4988.0,146.0,132.0,553.0,78.1,2.3,2.1,8.7,14353
Turrella,1657.0,152.0,103.0,470.0,66.1,6.1,4.1,18.7,13982
Bardwell Valley,1296.0,184.0,124.0,612.0,55.8,7.9,5.3,26.3,10196
Bardwell Park,1210.0,171.0,102.0,688.0,54.0,7.6,4.5,30.7,10195
Bexley,12214.0,1172.0,791.0,3668.0,61.9,5.9,4.0,18.6,10334
Kogarah,11580.0,503.0,379.0,1824.0,76.6,3.3,2.5,12.1,12181
Bexley North,2416.0,281.0,192.0,975.0,59.0,6.9,4.7,23.8,10335
Allawah,4370.0,201.0,179.0,706.0,76.7,3.5,3.1,12.4,10038
Beverley Park,1288.0,166.0,135.0,686.0,53.7,6.9,5.6,28.6,10330
Kogarah Bay,1074.0,145.0,103.0,598.0,53.0,7.2,5.1,29.5,12182
Kyeemagh,525.0,58.0,33.0,232.0,56.9,6.3,3.6,25.2,12226
Brighton-le-Sands,4895.0,500.0,306.0,1834.0,58.8,6.0,3.7,22.0,10569
Rockdale,11991.0,500.0,399.0,1634.0,77.2,3.2,2.6,10.5,13379
Monterey,2699.0,275.0,180.0,1110.0,59.6,6.1,4.0,24.5,12686
Banksia,2150.0,197.0,128.0,696.0,63.5,5.8,3.8,20.6,10178
Sandringham (NSW),561.0,80.0,55.0,484.0,45.4,6.5,4.4,39.2,13478
Dolls Point,837.0,130.0,73.0,530.0,50.7,7.9,4.4,32.1,11267
Sans Souci,4836.0,773.0,488.0,3525.0,46.9,7.5,4.7,34.2,13489
Ramsgate,546.0,87.0,59.0,370.0,48.5,7.7,5.2,32.9,13309
Ramsgate Beach,803.0,116.0,65.0,505.0,48.2,7.0,3.9,30.3,13310
Concord,7558.0,1085.0,733.0,4597.0,52.0,7.5,5.0,31.6,10999
Breakfast Point,2249.0,251.0,180.0,1235.0,53.8,6.0,4.3,29.5,10557
Cabarita (NSW),942.0,153.0,96.0,692.0,48.2,7.8,4.9,35.4,10736
Mortlake (NSW),531.0,91.0,39.0,302.0,50.2,8.6,3.7,28.6,12729
North Strathfield,3117.0,198.0,157.0,925.0,65.3,4.2,3.3,19.4,13009
Concord West,2907.0,452.0,315.0,1993.0,49.1,7.6,5.3,33.7,11000
Sydney Olympic Park,1213.0,40.0,30.0,132.0,70.0,2.3,1.7,7.6,13716
Liberty Grove,1617.0,98.0,86.0,302.0,71.5,4.3,3.8,13.4,12315
Rhodes,10164.0,175.0,164.0,712.0,85.4,1.5,1.4,6.0,13358
Drummoyne,4584.0,965.0,716.0,4632.0,38.3,8.1,6.0,38.7,11293
Russell Lea,2069.0,463.0,315.0,1874.0,41.4,9.3,6.3,37.5,13447
Rodd Point,618.0,101.0,71.0,554.0,45.2,7.4,5.2,40.5,13391
Abbotsford (NSW),2312.0,413.0,297.0,1951.0,43.1,7.7,5.5,36.3,10003
Chiswick,1430.0,200.0,129.0,909.0,48.9,6.8,4.4,31.1,10910
Five Dock,4369.0,821.0,524.0,3009.0,46.7,8.8,5.6,32.2,11530
Canada Bay,639.0,94.0,51.0,390.0,51.7,7.6,4.1,31.6,10785
Wareemba,666.0,131.0,83.0,589.0,42.7,8.4,5.3,37.8,14148
Balmain,3789.0,969.0,697.0,4053.0,36.3,9.3,6.7,38.8,10164
Birchgrove,1132.0,307.0,226.0,1368.0,34.3,9.3,6.8,41.4,10374
Woolwich,268.0,77.0,54.0,372.0,32.6,9.4,6.6,45.3,14412
Leichhardt (NSW),5460.0,1464.0,954.0,5541.0,37.3,10.0,6.5,37.9,12297
Lilyfield,2714.0,725.0,474.0,3180.0,35.7,9.5,6.2,41.8,12325
Rozelle,3271.0,739.0,555.0,3374.0,37.5,8.5,6.4,38.7,13435
Ashfield (NSW),15731.0,1099.0,857.0,4506.0,66.0,4.6,3.6,18.9,10098
Summer Hill (Inner West - NSW),3309.0,602.0,398.0,2466.0,45.3,8.2,5.5,33.8,13687
Hurlstone Park,2445.0,372.0,221.0,1355.0,52.1,7.9,4.7,28.9,11963
Ashbury,1601.0,320.0,170.0,1102.0,48.0,9.6,5.1,33.1,10093
Burwood (NSW),13043.0,346.0,322.0,1358.0,81.4,2.2,2.0,8.5,10718
Croydon (NSW),6149.0,661.0,478.0,2830.0,57.9,6.2,4.5,26.7,11134
Strathfield (NSW),19520.0,870.0,700.0,3158.0,75.6,3.4,2.7,12.2,13675
Croydon Park (NSW),6542.0,795.0,541.0,2628.0,59.4,7.2,4.9,23.9,11135
Enfield (NSW),1885.0,187.0,84.0,540.0,66.4,6.6,3.0,19.0,11421
Burwood Heights,592.0,63.0,34.0,222.0,60.2,6.4,3.5,22.6,10719
Haberfield,2768.0,571.0,392.0,2396.0,42.9,8.9,6.1,37.1,11828
Homebush West,6877.0,120.0,153.0,440.0,79.9,1.4,1.8,5.1,11930
Homebush (NSW),5340.0,183.0,147.0,806.0,76.2,2.6,2.1,11.5,11929
Strathfield South,2342.0,187.0,142.0,683.0,66.2,5.3,4.0,19.3,13676
Chatswood,18228.0,836.0,823.0,3557.0,73.2,3.4,3.3,14.3,10892
North Willoughby,2009.0,323.0,254.0,1391.0,48.1,7.7,6.1,33.3,13016
Willoughby (NSW),2859.0,552.0,387.0,2440.0,43.7,8.4,5.9,37.3,14303
Artarmon,5591.0,512.0,518.0,2355.0,58.7,5.4,5.4,24.7,10090
Roseville,4350.0,770.0,630.0,3859.0,43.2,7.6,6.2,38.3,13412
Lane Cove North,6117.0,800.0,660.0,3177.0,53.5,7.0,5.8,27.8,12267
Chatswood West,753.0,113.0,102.0,483.0,50.4,7.6,6.8,32.4,10893
Lane Cove West,1201.0,235.0,173.0,935.0,45.7,8.9,6.6,35.6,12268
Lane Cove,4933.0,916.0,724.0,3735.0,45.6,8.5,6.7,34.6,12266
Riverview (NSW),1030.0,342.0,201.0,1706.0,30.7,10.2,6.0,50.9,13370
Greenwich,2219.0,450.0,397.0,2195.0,39.5,8.0,7.1,39.1,11770
Northwood (NSW),293.0,84.0,67.0,450.0,30.2,8.7,6.9,46.4,13024
Longueville,606.0,206.0,168.0,1010.0,29.4,10.0,8.1,48.9,12385
Linley Point,169.0,13.0,12.0,139.0,49.4,3.8,3.5,40.6,12341
St Leonards (NSW),3658.0,217.0,197.0,976.0,66.5,3.9,3.6,17.8,13642
Naremburn,2449.0,532.0,384.0,2147.0,41.6,9.0,6.5,36.4,12898
Cammeray,2582.0,671.0,489.0,2875.0,36.8,9.6,7.0,41.0,10778
Castle Cove,1200.0,235.0,160.0,857.0,46.9,9.2,6.3,33.5,10845
Castlecrag,1128.0,240.0,221.0,1218.0,38.5,8.2,7.5,41.5,10849
Northbridge (NSW),2287.0,579.0,399.0,2810.0,36.0,9.1,6.3,44.3,13022
Middle Cove,496.0,117.0,114.0,545.0,37.0,8.7,8.5,40.7,12602
Willoughby East,594.0,164.0,149.0,843.0,32.7,9.0,8.2,46.3,14304
Hornsby Heights,2307.0,564.0,443.0,2832.0,36.6,8.9,7.0,44.9,11937
Mount Colah,2528.0,592.0,512.0,3267.0,35.6,8.3,7.2,46.0,12750
Asquith,1484.0,249.0,184.0,1329.0,44.0,7.4,5.5,39.4,10103
Hornsby,13930.0,1127.0,911.0,5129.0,62.8,5.1,4.1,23.1,11936
Mount Kuring-Gai,521.0,130.0,114.0,854.0,30.6,7.6,6.7,50.1,12772
Cowan,112.0,51.0,51.0,401.0,17.4,7.9,7.9,62.3,11097
Berowra,1481.0,468.0,352.0,2279.0,31.4,9.9,7.5,48.3,10308
Brooklyn (NSW),175.0,59.0,53.0,395.0,24.1,8.1,7.3,54.4,10599
Berowra Heights,1315.0,571.0,348.0,2868.0,25.0,10.9,6.6,54.6,10310
Dangar Island,99.0,19.0,14.0,131.0,32.8,6.3,4.6,43.4,11199
Normanhurst,2172.0,423.0,342.0,2118.0,41.1,8.0,6.5,40.0,12976
Thornleigh,3670.0,599.0,505.0,3355.0,43.4,7.1,6.0,39.7,13850
Westleigh,1686.0,385.0,262.0,2011.0,37.8,8.6,5.9,45.1,14260
Wahroonga,7644.0,1269.0,1063.0,6504.0,44.0,7.3,6.1,37.4,14085
Waitara,4347.0,170.0,167.0,881.0,73.1,2.9,2.8,14.8,14086
East Killara,2076.0,136.0,122.0,541.0,69.8,4.6,4.1,18.2,11355
Killara (NSW),5673.0,641.0,595.0,3238.0,53.6,6.1,5.6,30.6,12129
Lindfield,4876.0,695.0,570.0,3255.0,49.8,7.1,5.8,33.3,12339
Gordon (NSW),4365.0,440.0,353.0,2056.0,57.0,5.7,4.6,26.8,11718
East Lindfield,1765.0,340.0,255.0,1239.0,47.6,9.2,6.9,33.4,11357
Roseville Chase,637.0,176.0,137.0,619.0,39.4,10.9,8.5,38.3,13413
Pymble,5558.0,790.0,645.0,3641.0,50.3,7.1,5.8,33.0,13281
West Pymble,2015.0,498.0,367.0,2273.0,38.0,9.4,6.9,42.9,14250
St Ives (NSW),9712.0,1135.0,1032.0,4824.0,56.1,6.6,6.0,27.9,13639
St Ives Chase,1711.0,225.0,214.0,904.0,54.3,7.1,6.8,28.7,13640
Turramurra,5220.0,895.0,695.0,4676.0,43.8,7.5,5.8,39.2,13980
South Turramurra,1166.0,257.0,200.0,1345.0,37.8,8.3,6.5,43.6,13598
North Turramurra,1515.0,305.0,223.0,1768.0,35.6,7.2,5.2,41.6,13013
Warrawee,1274.0,247.0,183.0,1170.0,42.6,8.2,6.1,39.1,14165
North Wahroonga,920.0,148.0,115.0,766.0,46.1,7.4,5.8,38.4,13015
Cremorne Point,896.0,222.0,139.0,931.0,37.2,9.2,5.8,38.7,11113
Cremorne (NSW),4926.0,897.0,691.0,3897.0,43.9,8.0,6.2,34.7,11112
Neutral Bay,4551.0,765.0,610.0,3617.0,43.4,7.3,5.8,34.5,12934
Crows Nest (NSW),2147.0,388.0,255.0,1578.0,44.8,8.1,5.3,32.9,11131
Wollstonecraft,3898.0,604.0,519.0,2772.0,46.9,7.3,6.2,33.3,14359
Waverton,1304.0,237.0,178.0,1086.0,43.1,7.8,5.9,35.9,14202
North Sydney,3791.0,475.0,357.0,2377.0,49.2,6.2,4.6,30.8,13010
Mosman,10990.0,2377.0,1847.0,11199.0,38.6,8.3,6.5,39.3,12738
Kirribilli,1662.0,246.0,195.0,1332.0,43.5,6.4,5.1,34.9,12173
Kurraba Point,571.0,125.0,102.0,606.0,37.6,8.2,6.7,39.9,12217
Milsons Point,1263.0,95.0,80.0,509.0,58.3,4.4,3.7,23.5,12629
McMahons Point,870.0,155.0,123.0,897.0,38.2,6.8,5.4,39.3,12547
Lavender Bay,383.0,52.0,41.0,369.0,40.9,5.5,4.4,39.4,12285
Seaforth (NSW),2843.0,706.0,532.0,2789.0,39.8,9.9,7.4,39.1,13509
Balgowlah Heights,1225.0,329.0,256.0,1399.0,36.6,9.8,7.7,41.8,10154
Clontarf (NSW),691.0,141.0,111.0,712.0,39.8,8.1,6.4,41.0,10935
Balgowlah,3010.0,668.0,569.0,3216.0,37.8,8.4,7.1,40.4,10153
Manly (NSW),6924.0,1125.0,943.0,5360.0,43.7,7.1,5.9,33.8,12475
Fairlight,2157.0,487.0,428.0,2446.0,36.9,8.3,7.3,41.9,11482
Avalon Beach,2577.0,1010.0,796.0,5038.0,26.0,10.2,8.0,50.8,10111
Palm Beach (NSW),367.0,179.0,114.0,823.0,23.0,11.2,7.1,51.5,13132
Whale Beach,59.0,14.0,19.0,142.0,23.2,5.5,7.5,55.9,14267
Clareville,212.0,61.0,61.0,377.0,28.7,8.3,8.3,51.0,10923
Scotland Island,213.0,50.0,37.0,251.0,36.5,8.6,6.3,43.1,13505
Elanora Heights,1104.0,438.0,307.0,2338.0,25.4,10.1,7.1,53.7,11389
Ingleside,281.0,82.0,48.0,478.0,28.9,8.4,4.9,49.1,11979
Bayview (NSW),1150.0,294.0,235.0,1644.0,31.7,8.1,6.5,45.4,10237
Church Point,337.0,77.0,61.0,451.0,33.8,7.7,6.1,45.2,10915
Lovett Bay,38.0,5.0,6.0,44.0,25.3,3.3,4.0,29.3,12397
Mona Vale,3245.0,939.0,710.0,5140.0,30.4,8.8,6.7,48.1,12672
Newport (NSW),2417.0,898.0,650.0,4952.0,26.0,9.7,7.0,53.2,12956
Bilgola Plateau,1116.0,339.0,246.0,1702.0,31.8,9.6,7.0,48.4,10351
Bilgola Beach,62.0,30.0,21.0,116.0,26.6,12.9,9.0,49.8,10350
Warriewood,2474.0,632.0,503.0,3356.0,33.0,8.4,6.7,44.8,14173
North Narrabeen,1569.0,596.0,466.0,2887.0,26.8,10.2,8.0,49.3,12999
Beacon Hill,3015.0,651.0,447.0,3020.0,40.5,8.7,6.0,40.5,10238
Narraweena,2674.0,514.0,426.0,2597.0,40.5,7.8,6.4,39.3,12910
Cromer (NSW),2455.0,676.0,532.0,3603.0,32.3,8.9,7.0,47.4,11118
Oxford Falls,32.0,9.0,8.0,54.0,24.6,6.9,6.2,41.5,13106
Dee Why,10731.0,1398.0,1229.0,6666.0,49.9,6.5,5.7,31.0,11227
North Curl Curl,1298.0,393.0,313.0,1853.0,31.5,9.5,7.6,45.0,12988
Forestville (NSW),3322.0,821.0,615.0,3267.0,39.9,9.9,7.4,39.2,11548
Killarney Heights,2013.0,415.0,328.0,1625.0,45.0,9.3,7.3,36.3,12130
Frenchs Forest,4917.0,1377.0,998.0,5773.0,36.5,10.2,7.4,42.8,11568
Belrose,3159.0,708.0,553.0,3830.0,36.0,8.1,6.3,43.7,10283
Davidson,1043.0,285.0,189.0,1230.0,36.6,10.0,6.6,43.2,11219
Curl Curl,654.0,211.0,186.0,1138.0,27.0,8.7,7.7,47.0,11167
Freshwater (NSW),2961.0,779.0,633.0,3883.0,33.4,8.8,7.1,43.8,11569
Manly Vale,2668.0,532.0,397.0,2166.0,43.3,8.6,6.4,35.2,12476
North Manly,1162.0,280.0,240.0,1268.0,37.7,9.1,7.8,41.1,12997
Queenscliff (NSW),1395.0,278.0,189.0,1249.0,41.3,8.2,5.6,37.0,13296
Brookvale,1641.0,239.0,177.0,961.0,52.0,7.6,5.6,30.4,10601
Allambie Heights,2357.0,679.0,502.0,3149.0,33.6,9.7,7.2,44.9,10036
North Balgowlah,1272.0,393.0,287.0,1602.0,34.7,10.7,7.8,43.7,12981
Narrabeen,2308.0,704.0,563.0,3821.0,28.1,8.6,6.9,46.5,12902
Collaroy (NSW),2346.0,692.0,547.0,3684.0,29.8,8.8,7.0,46.8,10970
Collaroy Plateau,1434.0,492.0,322.0,2283.0,30.1,10.3,6.7,47.9,10971
